client_id,signup_date,weight,age,is_mom,spendiness_top,dress_size,boho_score_inferred,casual_score_inferred,classic_score_inferred,glam_score_inferred,romantic_score_inferred,edgy_score_inferred,preppy_score_inferred,profession,shipping_state,spendiness_bottom,business_score,laidback_score,cocktail_score,nightout_score
56,14:44.5,165,27,f,50_100,L,6,9,9,7,7,8,5,Technology,CA,50_100,6,4,7,5
57,19:40.4,115,37,t,50_100,S,6,7,5,5,5,6,3,Marketing,CA,50_100,8,7,6,3
58,35:16.1,180,36,f,50_100,L,4,5,5,6,6,4,5,Finance,CA,50_100,7,9,2,5
59,29:30.5,155,24,f,cheaper_the_better,M,6,7,3,3,6,5,7,Student,IL,50_100,5,7,3,4
60,51:57.5,130,38,t,cheaper_the_better,L,7,5,3,7,4,6,3,Other,TX,50_100,9,9,3,5
61,50:48.3,132,52,t,50_100,M,4,7,4,7,7,3,5,Homemaker,TX,50_100,5,5,5,5
62,04:44.7,170,33,t,50_100,L,7,9,7,8,7,6,7,Education,CA,50_100,6,5,3,6
63,19:51.2,170,42,t,cheaper_the_better,L,5,5,4,5,5,5,4,Management,AZ,50_100,9,5,3,4
64,11:18.7,150,36,t,50_100,L,6,7,7,3,2,6,3,Management,AZ,100_150,5,9,5,4
65,58:32.5,138,33,f,cheaper_the_better,M,3,3,8,6,4,6,7,Education,FL,cheaper_the_better,6,7,6,5
66,44:06.5,157,46,t,cheaper_the_better,L,5,7,8,5,4,3,5,Management,IL,50_100,7,7,3,4
67,37:36.7,150,44,f,100_150,M,2,5,3,5,3,5,7,Management,CA,200_plus,5,6,5,4
68,11:04.7,125,34,t,50_100,S,7,9,6,5,3,7,4,Homemaker,IL,50_100,6,6,3,7
69,16:00.1,148,29,t,cheaper_the_better,M,8,5,6,2,3,3,5,Homemaker,TX,50_100,8,6,4,4
70,27:53.5,115,32,f,cheaper_the_better,S,5,6,5,7,9,2,3,Medicine,CA,cheaper_the_better,8,6,5,4
71,38:30.5,190,48,t,50_100,L,6,6,5,2,3,6,4,Medicine,CA,50_100,8,4,2,6
72,15:34.3,140,27,f,50_100,M,4,4,7,4,2,5,3,Marketing,IN,50_100,7,6,5,7
73,44:04.0,113,30,f,cheaper_the_better,XS,4,6,7,8,8,6,5,Finance,NC,50_100,8,6,3,7
74,06:19.9,118,38,t,50_100,S,3,7,4,8,4,8,5,Finance,WI,50_100,7,5,5,5
